TdbIn 15.6 18.3 21.1 23.9
TdbOut TwbOut TC IP TC IP TC IP TC IP
-26.1 -27.0 3.62 2.15 3.54 2.19 3.45 2.23 3.28 2.31
-20.6 -21.7 4.63 2.16 4.52 2.20 4.41 2.24 4.19 2.32
-15.0 -16.1 5.11 2.17 4.99 2.21 4.86 2.25 4.62 2.34
-10.0 -11.1 5.36 2.13 5.23 2.18 5.10 2.22 4.85 2.30
-5.0 -7.2 5.86 2.10 5.72 2.14 5.58 2.18 5.30 2.26
0.0 -2.2 6.03 2.07 5.88 2.11 5.74 2.15 5.45 2.23
5.0 2.8 6.58 1.88 6.43 1.92 6.27 1.96 5.96 2.04
8.3 6.1 6.80 1.86 6.64 1.90 6.48 1.94 6.15 2.02
10.0 8.3 7.52 1.85 7.34 1.89 7.16 1.93 6.80 2.00
15.0 10.0 7.79 1.64 7.60 1.68 7.42 1.71 7.05 1.78
