ID,Repeat,Init,Fin,Length (s),Song Name,Link,Comments,Singer,Language,Gender
HRLcWZinlIE,0,0.31,3.24,173,Fallout (Marianas Trench),youtube.com/watch?v=HRLcWZinlIE,,RatedT4Taylor,English,Female
RqS924W5td0,0,0.13,2.37,144,One Step At A Time (Jordan Sparks),youtube.com/watch?v=RqS924W5td0,Shaky video,RatedT4Taylor,English,Female
DFLdkLJtXMQ,0,1.05,4.12,187,Here We Go Again (Demi Lovato),youtube.com/watch?v=DFLdkLJtXMQ,,RatedT4Taylor,English,Female
58aERSfiY6c,0,1.49,4.52,183,Stay (Rihanna),youtube.com/watch?v=58aERSfiY6c,,RatedT4Taylor,English,Female
pOchgKbgKcQ,0,0.51,3.47,176,Gunnin' (Hedley),youtube.com/watch?v=pOchgKbgKcQ,,RatedT4Taylor,English,Female
EzSenFYCUuM,0,0.38,4.27,229,Sweater Weather (The Neighbourhood),youtube.com/watch?v=EzSenFYCUuM,,RatedT4Taylor,English,Female
n9wdZX1lWnE,0,1.03,2.39,96,"Do You Wanna Build A Snowman (Robert Lopez, Kristen Anderson-Lopez)",youtube.com/watch?v=n9wdZX1lWnE,,RatedT4Taylor,English,Female
xWnDU7I9bCs,0,2.12,6.13,241,All Of Me (John Legend),youtube.com/watch?v=xWnDU7I9bCs,,RatedT4Taylor,English,Female
tg0SpPYlkG8,0,0.21,3.22,181,Dirt Road Anthem (Jason Aldean),youtube.com/watch?v=tg0SpPYlkG8,Contains rap,RatedT4Taylor,English,Female
qHlhy3nan0M,0,0.06,4.17,251,Amnesia (5 Seconds of Summer),youtube.com/watch?v=qHlhy3nan0M,,RatedT4Taylor,English,Female
CujFLMQtIqE,0,0.2,2.21,121,"You Are My Sunshine (Jimmie Davis, Charles Mitchell)",youtube.com/watch?v=CujFLMQtIqE,,RatedT4Taylor,English,Female
JSn5xF24_U0,0,0.58,5.27,269,Someone Like You (Adele),youtube.com/watch?v=JSn5xF24_U0,,RatedT4Taylor,English,Female
OwbWo46GHJg,0,0.36,4.54,258,She Will Be Loved (Maroon 5),youtube.com/watch?v=OwbWo46GHJg,,RatedT4Taylor,English,Female
f8jAzxTUxZE,0,0.44,4.5,246,For The Nights I Can't Remember (Hedley),youtube.com/watch?v=f8jAzxTUxZE,,RatedT4Taylor,English,Female
dSBFcvZy_IM,0,0,2.34,154,Listen (Beyoncé),youtube.com/watch?v=dSBFcvZy_IM,,Andie Case,English,Female
