Tdbr 17.8 21.1 23.9 26.7 29.4 32.2
Twbr 12.2 15.6 17.2 19.4 21.7 22.8
Tdbo TC SHC IP TC SHC IP TC SHC IP TC SHC IP TC SHC IP TC SHC IP
-10.0 3.03 2.79 0.28 3.38 2.81 0.28 3.73 3.07 0.29 3.84 3.31 0.29 4.07 3.29 0.29 4.30 3.50 0.30
-5.0 3.01 2.77 0.33 3.35 2.78 0.33 3.70 3.03 0.35 3.81 3.28 0.34 4.04 3.26 0.34 4.27 3.47 0.35
0.0 2.98 2.74 0.36 3.33 2.75 0.36 3.67 3.01 0.38 3.78 3.25 0.37 4.01 3.23 0.38 4.23 3.45 0.39
5.0 2.96 2.73 0.39 3.30 2.75 0.39 3.64 2.99 0.41 3.75 3.23 0.40 3.98 3.22 0.40 4.20 3.42 0.41
10.0 2.94 2.70 0.40 3.28 2.71 0.40 3.61 2.96 0.42 3.73 3.20 0.41 3.95 3.18 0.41 4.17 3.40 0.42
15.0 2.92 2.68 0.41 3.25 2.71 0.41 3.58 2.94 0.44 3.70 3.18 0.42 3.92 3.17 0.43 4.14 3.37 0.44
19.4 3.29 3.03 0.54 3.67 3.05 0.55 4.04 3.32 0.55 4.17 3.59 0.56 4.42 3.57 0.56 4.67 3.80 0.57
25.0 3.13 2.88 0.62 3.49 2.89 0.63 3.85 3.15 0.64 3.97 3.41 0.64 4.20 3.39 0.64 4.44 3.61 0.65
30.6 2.96 2.72 0.69 3.30 2.73 0.70 3.64 2.98 0.71 3.75 3.22 0.71 3.98 3.21 0.72 4.20 3.42 0.73
35.0 2.78 2.56 0.76 3.09 2.57 0.77 3.41 2.80 0.79 3.52 3.03 0.79 3.73 3.02 0.80 3.94 3.21 0.81
40.0 2.35 2.28 0.71 2.62 2.29 0.72 2.88 2.49 0.73 2.97 2.70 0.74 3.15 2.68 0.74 3.33 2.87 0.75
46.0 2.16 2.11 0.71 2.41 2.12 0.72 2.66 2.31 0.74 2.74 2.50 0.74 2.90 2.49 0.74 3.07 2.65 0.75
